,id,Entry Name,Protein names,Gene Names
100,ENSP00000419782,CDK5_HUMAN,Cyclin-dependent kinase 5 (EC 2.7.11.1) (Cell division protein kinase 5) (Cyclin-dependent-like kinase 5) (Serine/threonine-protein kinase PSSALRE) (Tau protein kinase II catalytic subunit) (TPKII catalytic subunit),CDK5 CDKN5 PSSALRE
101,ENSP00000373700,ALK_HUMAN,ALK tyrosine kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase) (CD antigen CD246),ALK
102,ENSP00000222254,P85B_HUMAN,Phosphatidylinositol 3-kinase regulatory subunit beta (PI3-kinase regulatory subunit beta) (PI3K regulatory subunit beta) (PtdIns-3-kinase regulatory subunit beta) (Phosphatidylinositol 3-kinase 85 kDa regulatory subunit beta) (PI3-kinase subunit p85-beta) (PtdIns-3-kinase regulatory subunit p85-beta),PIK3R2
103,ENSP00000347942,RET_HUMAN,Proto-oncogene tyrosine-protein kinase receptor Ret (EC 2.7.10.1) (Cadherin family member 12) (Proto-oncogene c-Ret) [Cleaved into: Soluble RET kinase fragment; Extracellular cell-membrane anchored RET cadherin 120 kDa fragment],RET CDHF12 CDHR16 PTC RET51
104,ENSP00000307235,E2AK3_HUMAN,Eukaryotic translation initiation factor 2-alpha kinase 3 (EC 2.7.11.1) (PRKR-like endoplasmic reticulum kinase) (Pancreatic eIF2-alpha kinase) (HsPEK),EIF2AK3 PEK PERK
105,ENSP00000369375,TIE2_HUMAN,Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b),TEK TIE2 VMCM VMCM1
106,ENSP00000378217,KPCD_HUMAN,Protein kinase C delta type (EC 2.7.11.13) (Tyrosine-protein kinase PRKCD) (EC 2.7.10.2) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],PRKCD PKCD
107,ENSP00000262948,MP2K2_HUMAN,Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2),MAP2K2 MEK2 MKK2 PRKMK2
108,ENSP00000300648,GCN1_HUMAN,eIF-2-alpha kinase activator GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1) (HsGCN1),GCN1 GCN1L1 KIAA0219
109,ENSP00000379975,ILK_HUMAN,Integrin-linked protein kinase (EC 2.7.11.1) (59 kDa serine/threonine-protein kinase) (Beta-integrin-linked kinase) (ILK-1) (ILK-2) (p59ILK),ILK ILK1 ILK2
110,ENSP00000363117,FGR_HUMAN,Tyrosine-protein kinase Fgr (EC 2.7.10.2) (Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog) (Proto-oncogene c-Fgr) (p55-Fgr) (p58-Fgr) (p58c-Fgr),FGR SRC2
111,ENSP00000355966,NEK2_HUMAN,Serine/threonine-protein kinase Nek2 (EC 2.7.11.1) (HSPK 21) (Never in mitosis A-related kinase 2) (NimA-related protein kinase 2) (NimA-like protein kinase 1),NEK2 NEK2A NLK1
112,ENSP00000382423,M3K1_HUMAN,Mitogen-activated protein kinase kinase kinase 1 (EC 2.7.11.25) (MAPK/ERK kinase kinase 1) (MEK kinase 1) (MEKK 1),MAP3K1 MAPKKK1 MEKK MEKK1
113,ENSP00000382697,ROCK1_HUMAN,"Rho-associated protein kinase 1 (EC 2.7.11.1) (Renal carcinoma antigen NY-REN-35) (Rho-associated, coiled-coil-containing protein kinase 1) (Rho-associated, coiled-coil-containing protein kinase I) (ROCK-I) (p160 ROCK-1) (p160ROCK)",ROCK1
114,ENSP00000393139,CDC7_HUMAN,Cell division cycle 7-related protein kinase (CDC7-related kinase) (HsCdc7) (huCdc7) (EC 2.7.11.1),CDC7 CDC7L1
115,ENSP00000391676,JAK3_HUMAN,Tyrosine-protein kinase JAK3 (EC 2.7.10.2) (Janus kinase 3) (JAK-3) (Leukocyte janus kinase) (L-JAK),JAK3
116,ENSP00000256443,CDK7_HUMAN,Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (p39 Mo15) (CDK-activating kinase 1) (Cell division protein kinase 7) (Serine/threonine-protein kinase 1) (TFIIH basal transcription factor complex kinase subunit),CDK7 CAK CAK1 CDKN7 MO15 STK1
117,ENSP00000262506,CSK22_HUMAN,Casein kinase II subunit alpha' (CK II alpha') (EC 2.7.11.1),CSNK2A2 CK2A2
118,ENSP00000342434,BAZ1B_HUMAN,Tyrosine-protein kinase BAZ1B (EC 2.7.10.2) (Bromodomain adjacent to zinc finger domain protein 1B) (Williams syndrome transcription factor) (Williams-Beuren syndrome chromosomal region 10 protein) (Williams-Beuren syndrome chromosomal region 9 protein) (hWALp2),BAZ1B WBSC10 WBSCR10 WBSCR9 WSTF
119,ENSP00000331040,OLIG2_HUMAN,Oligodendrocyte transcription factor 2 (Oligo2) (Class B basic helix-loop-helix protein 1) (bHLHb1) (Class E basic helix-loop-helix protein 19) (bHLHe19) (Protein kinase C-binding protein 2) (Protein kinase C-binding protein RACK17),OLIG2 BHLHB1 BHLHE19 PRKCBP2 RACK17
120,ENSP00000348573,AKAP9_HUMAN,A-kinase anchor protein 9 (AKAP-9) (A-kinase anchor protein 350 kDa) (AKAP 350) (hgAKAP 350) (A-kinase anchor protein 450 kDa) (AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein) (CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9) (PRKA9) (Protein yotiao),AKAP9 AKAP350 AKAP450 KIAA0803
121,ENSP00000264380,FYV1_HUMAN,1-phosphatidylinositol 3-phosphate 5-kinase (Phosphatidylinositol 3-phosphate 5-kinase) (EC 2.7.1.150) (FYVE finger-containing phosphoinositide kinase) (PIKfyve) (Phosphatidylinositol 3-phosphate 5-kinase type III) (PIPkin-III) (Type III PIP kinase) (Serine-protein kinase PIKFYVE) (EC 2.7.11.1),PIKFYVE KIAA0981 PIP5K3
122,ENSP00000331201,HGS_HUMAN,Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110),HGS HRS
123,ENSP00000368887,PK1IP_HUMAN,p21-activated protein kinase-interacting protein 1 (PAK/PLC-interacting protein 1) (hPIP1) (PAK1-interacting protein 1) (WD repeat-containing protein 84),PAK1IP1 PIP1 WDR84
124,ENSP00000216639,VRK1_HUMAN,Serine/threonine-protein kinase VRK1 (EC 2.7.11.1) (Vaccinia-related kinase 1),VRK1
125,ENSP00000263826,AKT3_HUMAN,RAC-gamma serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-3) (Protein kinase B gamma) (PKB gamma) (RAC-PK-gamma) (STK-2),AKT3 PKBG
126,ENSP00000223366,HXK4_HUMAN,Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D),GCK
127,ENSP00000365042,CSK2B_HUMAN,Casein kinase II subunit beta (CK II beta) (Phosvitin) (Protein G5a),CSNK2B CK2N G5A
128,ENSP00000367830,KPCZ_HUMAN,Protein kinase C zeta type (EC 2.7.11.13) (nPKC-zeta),PRKCZ PKC2
129,ENSP00000366563,PK3CD_HUMAN,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)",PIK3CD
130,ENSP00000311005,MK07_HUMAN,Mitogen-activated protein kinase 7 (MAP kinase 7) (MAPK 7) (EC 2.7.11.24) (Big MAP kinase 1) (BMK-1) (Extracellular signal-regulated kinase 5) (ERK-5),MAPK7 BMK1 ERK5 PRKM7
131,ENSP00000301634,KITH_HUMAN,"Thymidine kinase, cytosolic (EC 2.7.1.21)",TK1
132,ENSP00000358335,M3K7_HUMAN,Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1),MAP3K7 TAK1
133,ENSP00000362931,SRPK1_HUMAN,SRSF protein kinase 1 (EC 2.7.11.1) (SFRS protein kinase 1) (Serine/arginine-rich protein-specific kinase 1) (SR-protein-specific kinase 1),SRPK1
134,ENSP00000274289,PLK2_HUMAN,Serine/threonine-protein kinase PLK2 (EC 2.7.11.21) (Polo-like kinase 2) (PLK-2) (hPlk2) (Serine/threonine-protein kinase SNK) (hSNK) (Serum-inducible kinase),PLK2 SNK
135,ENSP00000215659,MK12_HUMAN,Mitogen-activated protein kinase 12 (MAP kinase 12) (MAPK 12) (EC 2.7.11.24) (Extracellular signal-regulated kinase 6) (ERK-6) (Mitogen-activated protein kinase p38 gamma) (MAP kinase p38 gamma) (Stress-activated protein kinase 3),MAPK12 ERK6 SAPK3
136,ENSP00000324464,KC1D_HUMAN,Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26),CSNK1D HCKID
137,ENSP00000278568,PAK1_HUMAN,Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK),PAK1
138,ENSP00000358997,IRAK1_HUMAN,Interleukin-1 receptor-associated kinase 1 (IRAK-1) (EC 2.7.11.1),IRAK1 IRAK
139,ENSP00000351908,M3K5_HUMAN,Mitogen-activated protein kinase kinase kinase 5 (EC 2.7.11.25) (Apoptosis signal-regulating kinase 1) (ASK-1) (MAPK/ERK kinase kinase 5) (MEK kinase 5) (MEKK 5),MAP3K5 ASK1 MAPKKK5 MEKK5
140,ENSP00000319814,PCKGC_HUMAN,"Phosphoenolpyruvate carboxykinase, cytosolic [GTP] (PEPCK-C) (EC 4.1.1.32) (Serine-protein kinase PCK1) (EC 2.7.11.-)",PCK1 PEPCK1
141,ENSP00000265970,P3C2A_HUMAN,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha (PI3K-C2-alpha) (PtdIns-3-kinase C2 subunit alpha) (EC 2.7.1.137) (EC 2.7.1.153) (EC 2.7.1.154) (Phosphoinositide 3-kinase-C2-alpha),PIK3C2A
142,ENSP00000351209,EPHA2_HUMAN,Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK),EPHA2 ECK
143,ENSP00000346148,AAPK1_HUMAN,5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK subunit alpha-1) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31) (Tau-protein kinase PRKAA1) (EC 2.7.11.26),PRKAA1 AMPK1
144,ENSP00000317985,ROCK2_HUMAN,"Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)",ROCK2 KIAA0619
145,ENSP00000233057,E2AK2_HUMAN,"Interferon-induced, double-stranded RNA-activated protein kinase (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 2) (eIF-2A protein kinase 2) (Interferon-inducible RNA-dependent protein kinase) (P1/eIF-2A protein kinase) (Protein kinase RNA-activated) (PKR) (Protein kinase R) (Tyrosine-protein kinase EIF2AK2) (EC 2.7.10.2) (p68 kinase)",EIF2AK2 PKR PRKR
146,ENSP00000376475,KAP0_HUMAN,cAMP-dependent protein kinase type I-alpha regulatory subunit (Tissue-specific extinguisher 1) (TSE1),PRKAR1A PKR1 PRKAR1 TSE1
147,ENSP00000464814,COASY_HUMAN,Bifunctional coenzyme A synthase (CoA synthase) (NBP) (POV-2) [Includes: Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT); Dephospho-CoA kinase (DPCK) (EC 2.7.1.24) (Dephosphocoenzyme A kinase) (DPCOAK)],COASY PSEC0106
148,ENSP00000311083,CKS1_HUMAN,Cyclin-dependent kinases regulatory subunit 1 (CKS-1),CKS1B CKS1 PNAS-143 PNAS-16
149,ENSP00000262300,PMYT1_HUMAN,Membrane-associated tyrosine- and threonine-specific cdc2-inhibitory kinase (EC 2.7.11.1) (Myt1 kinase),PKMYT1 MYT1
150,ENSP00000402084,WEE1_HUMAN,Wee1-like protein kinase (WEE1hu) (EC 2.7.10.2) (Wee1A kinase),WEE1
151,ENSP00000287878,AAKG2_HUMAN,5'-AMP-activated protein kinase subunit gamma-2 (AMPK gamma2) (AMPK subunit gamma-2) (H91620p),PRKAG2
152,ENSP00000345771,PFKAM_HUMAN,"ATP-dependent 6-phosphofructokinase, muscle type (ATP-PFK) (PFK-M) (EC 2.7.1.11) (6-phosphofructokinase type A) (Phosphofructo-1-kinase isozyme A) (PFK-A) (Phosphohexokinase)",PFKM PFKX
153,ENSP00000314067,PAK2_HUMAN,Serine/threonine-protein kinase PAK 2 (EC 2.7.11.1) (Gamma-PAK) (PAK65) (S6/H4 kinase) (p21-activated kinase 2) (PAK-2) (p58) [Cleaved into: PAK-2p27 (p27); PAK-2p34 (p34) (C-t-PAK2)],PAK2
154,ENSP00000363763,EPHB2_HUMAN,Ephrin type-B receptor 2 (EC 2.7.10.1) (Developmentally-regulated Eph-related tyrosine kinase) (ELK-related tyrosine kinase) (EPH tyrosine kinase 3) (EPH-like kinase 5) (EK5) (hEK5) (Renal carcinoma antigen NY-REN-47) (Tyrosine-protein kinase TYRO5) (Tyrosine-protein kinase receptor EPH-3) [Cleaved into: EphB2/CTF1; EphB2/CTF2],EPHB2 DRT EPHT3 EPTH3 ERK HEK5 TYRO5
155,ENSP00000283109,RIOK2_HUMAN,Serine/threonine-protein kinase RIO2 (EC 2.7.11.1) (RIO kinase 2),RIOK2 RIO2
156,ENSP00000262741,P55G_HUMAN,Phosphatidylinositol 3-kinase regulatory subunit gamma (PI3-kinase regulatory subunit gamma) (PI3K regulatory subunit gamma) (PtdIns-3-kinase regulatory subunit gamma) (Phosphatidylinositol 3-kinase 55 kDa regulatory subunit gamma) (PI3-kinase subunit p55-gamma) (PtdIns-3-kinase regulatory subunit p55-gamma) (p55PIK),PIK3R3
157,ENSP00000261937,VGFR3_HUMAN,Vascular endothelial growth factor receptor 3 (VEGFR-3) (EC 2.7.10.1) (Fms-like tyrosine kinase 4) (FLT-4) (Tyrosine-protein kinase receptor FLT4),FLT4 VEGFR3
158,ENSP00000292432,HXK3_HUMAN,Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III) (HK III) (Hexokinase-C),HK3
159,ENSP00000356832,SGK1_HUMAN,Serine/threonine-protein kinase Sgk1 (EC 2.7.11.1) (Serum/glucocorticoid-regulated kinase 1),SGK1 SGK
160,ENSP00000364976,CKS2_HUMAN,Cyclin-dependent kinases regulatory subunit 2 (CKS-2),CKS2
161,ENSP00000298048,MELK_HUMAN,Maternal embryonic leucine zipper kinase (hMELK) (EC 2.7.11.1) (Protein kinase Eg3) (pEg3 kinase) (Protein kinase PK38) (hPK38) (Tyrosine-protein kinase MELK) (EC 2.7.10.2),MELK KIAA0175
162,ENSP00000255882,PI4KA_HUMAN,Phosphatidylinositol 4-kinase alpha (PI4-kinase alpha) (PI4K-alpha) (PtdIns-4-kinase alpha) (EC 2.7.1.67) (Phosphatidylinositol 4-Kinase III alpha),PI4KA PIK4 PIK4CA
163,ENSP00000355689,KGUA_HUMAN,Guanylate kinase (EC 2.7.4.8) (GMP kinase) (Guanylate kinase 1),GUK1 GMK GMPK
164,ENSP00000401445,ERN1_HUMAN,Serine/threonine-protein kinase/endoribonuclease IRE1 (Endoplasmic reticulum-to-nucleus signaling 1) (Inositol-requiring protein 1) (hIRE1p) (Ire1-alpha) (IRE1a) [Includes: Serine/threonine-protein kinase (EC 2.7.11.1); Endoribonuclease (EC 3.1.26.-)],ERN1 IRE1
165,ENSP00000263791,E2AK4_HUMAN,eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein),EIF2AK4 GCN2 KIAA1338
166,ENSP00000484060,PACN1_HUMAN,Protein kinase C and casein kinase substrate in neurons protein 1 (Syndapin-1),PACSIN1 KIAA1379
167,ENSP00000220003,CSK_HUMAN,Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase CYL),CSK
168,ENSP00000290573,HXK2_HUMAN,Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase),HK2
169,ENSP00000380044,KC1E_HUMAN,Casein kinase I isoform epsilon (CKI-epsilon) (CKIe) (EC 2.7.11.1),CSNK1E
170,ENSP00000370938,CDK8_HUMAN,Cyclin-dependent kinase 8 (EC 2.7.11.22) (EC 2.7.11.23) (Cell division protein kinase 8) (Mediator complex subunit CDK8) (Mediator of RNA polymerase II transcription subunit CDK8) (Protein kinase K35),CDK8
171,ENSP00000276925,CDN2B_HUMAN,Cyclin-dependent kinase 4 inhibitor B (Multiple tumor suppressor 2) (MTS-2) (p14-INK4b) (p15-INK4b) (p15INK4B),CDKN2B MTS2
172,ENSP00000380921,SH3K1_HUMAN,SH3 domain-containing kinase-binding protein 1 (CD2-binding protein 3) (CD2BP3) (Cbl-interacting protein of 85 kDa) (Human Src family kinase-binding protein 1) (HSB-1),SH3KBP1 CIN85
173,ENSP00000360290,AAPK2_HUMAN,5'-AMP-activated protein kinase catalytic subunit alpha-2 (AMPK subunit alpha-2) (EC 2.7.11.1) (Acetyl-CoA carboxylase kinase) (ACACA kinase) (EC 2.7.11.27) (Hydroxymethylglutaryl-CoA reductase kinase) (HMGCR kinase) (EC 2.7.11.31),PRKAA2 AMPK AMPK2
174,ENSP00000211287,MK13_HUMAN,Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4),MAPK13 PRKM13 SAPK4
175,ENSP00000222005,CDC37_HUMAN,"Hsp90 co-chaperone Cdc37 (Hsp90 chaperone protein kinase-targeting subunit) (p50Cdc37) [Cleaved into: Hsp90 co-chaperone Cdc37, N-terminally processed]",CDC37 CDC37A
176,ENSP00000431885,TYK2_HUMAN,Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2),TYK2
177,ENSP00000178640,MP2K5_HUMAN,Dual specificity mitogen-activated protein kinase kinase 5 (MAP kinase kinase 5) (MAPKK 5) (EC 2.7.12.2) (MAPK/ERK kinase 5) (MEK 5),MAP2K5 MEK5 MKK5 PRKMK5
178,ENSP00000239223,DUS1_HUMAN,Dual specificity protein phosphatase 1 (EC 3.1.3.16) (EC 3.1.3.48) (Dual specificity protein phosphatase hVH1) (Mitogen-activated protein kinase phosphatase 1) (MAP kinase phosphatase 1) (MKP-1) (Protein-tyrosine phosphatase CL100),DUSP1 CL100 MKP1 PTPN10 VH1
179,ENSP00000353452,MYLK_HUMAN,"Myosin light chain kinase, smooth muscle (MLCK) (smMLCK) (EC 2.7.11.18) (Kinase-related protein) (KRP) (Telokin) [Cleaved into: Myosin light chain kinase, smooth muscle, deglutamylated form]",MYLK MLCK MLCK1 MYLK1
180,ENSP00000428489,TOPK_HUMAN,Lymphokine-activated killer T-cell-originated protein kinase (EC 2.7.12.2) (Cancer/testis antigen 84) (CT84) (MAPKK-like protein kinase) (Nori-3) (PDZ-binding kinase) (Spermatogenesis-related protein kinase) (SPK) (T-LAK cell-originated protein kinase),PBK TOPK
181,ENSP00000398880,CDK12_HUMAN,"Cyclin-dependent kinase 12 (EC 2.7.11.22) (EC 2.7.11.23) (Cdc2-related kinase, arginine/serine-rich) (CrkRS) (Cell division cycle 2-related protein kinase 7) (CDC2-related protein kinase 7) (Cell division protein kinase 12) (hCDK12)",CDK12 CRK7 CRKRS KIAA0904
182,ENSP00000462468,YES_HUMAN,Tyrosine-protein kinase Yes (EC 2.7.10.2) (Proto-oncogene c-Yes) (p61-Yes),YES1 YES
183,ENSP00000261845,MK06_HUMAN,Mitogen-activated protein kinase 6 (MAP kinase 6) (MAPK 6) (EC 2.7.11.24) (Extracellular signal-regulated kinase 3) (ERK-3) (MAP kinase isoform p97) (p97-MAPK),MAPK6 ERK3 PRKM6
184,ENSP00000222330,GSK3A_HUMAN,Glycogen synthase kinase-3 alpha (GSK-3 alpha) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3A) (EC 2.7.11.1),GSK3A
185,ENSP00000304802,KTHY_HUMAN,Thymidylate kinase (EC 2.7.4.9) (dTMP kinase),DTYMK CDC8 TMPK TYMK
186,ENSP00000370517,PFKAP_HUMAN,"ATP-dependent 6-phosphofructokinase, platelet type (ATP-PFK) (PFK-P) (EC 2.7.1.11) (6-phosphofructokinase type C) (Phosphofructo-1-kinase isozyme C) (PFK-C) (Phosphohexokinase)",PFKP PFKF
187,ENSP00000339328,UPAR_HUMAN,Urokinase plasminogen activator surface receptor (U-PAR) (uPAR) (Monocyte activation antigen Mo3) (CD antigen CD87),PLAUR MO3 UPAR
188,ENSP00000349205,PI3R4_HUMAN,Phosphoinositide 3-kinase regulatory subunit 4 (PI3-kinase regulatory subunit 4) (EC 2.7.11.1) (PI3-kinase p150 subunit) (Phosphoinositide 3-kinase adaptor protein),PIK3R4 VPS15
189,ENSP00000363092,KGP1_HUMAN,cGMP-dependent protein kinase 1 (cGK 1) (cGK1) (EC 2.7.11.12) (cGMP-dependent protein kinase I) (cGKI),PRKG1 PRKG1B PRKGR1A PRKGR1B
190,ENSP00000361107,BMR1A_HUMAN,Bone morphogenetic protein receptor type-1A (BMP type-1A receptor) (BMPR-1A) (EC 2.7.11.30) (Activin receptor-like kinase 3) (ALK-3) (Serine/threonine-protein kinase receptor R5) (SKR5) (CD antigen CD292),BMPR1A ACVRLK3 ALK3
191,ENSP00000375909,SPKAP_HUMAN,A-kinase anchor protein SPHKAP (SPHK1-interactor and AKAP domain-containing protein) (Sphingosine kinase type 1-interacting protein),SPHKAP KIAA1678 SKIP
192,ENSP00000385205,PICK1_HUMAN,PRKCA-binding protein (Protein interacting with C kinase 1) (Protein kinase C-alpha-binding protein),PICK1 PRKCABP
193,ENSP00000339740,KCC2D_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit delta (CaM kinase II subunit delta) (CaMK-II subunit delta) (EC 2.7.11.17),CAMK2D CAMKD
194,ENSP00000316377,DLGP1_HUMAN,Disks large-associated protein 1 (DAP-1) (Guanylate kinase-associated protein) (hGKAP) (PSD-95/SAP90-binding protein 1) (SAP90/PSD-95-associated protein 1) (SAPAP1),DLGAP1 DAP1 GKAP
195,ENSP00000259808,RIPK1_HUMAN,Receptor-interacting serine/threonine-protein kinase 1 (EC 2.7.11.1) (Cell death protein RIP) (Receptor-interacting protein 1) (RIP-1),RIPK1 RIP RIP1
196,ENSP00000361275,PLK3_HUMAN,Serine/threonine-protein kinase PLK3 (EC 2.7.11.21) (Cytokine-inducible serine/threonine-protein kinase) (FGF-inducible kinase) (Polo-like kinase 3) (PLK-3) (Proliferation-related kinase),PLK3 CNK FNK PRK
197,ENSP00000304229,HINT1_HUMAN,Adenosine 5'-monophosphoramidase HINT1 (EC 3.9.1.-) (Desumoylating isopeptidase HINT1) (EC 3.4.22.-) (Histidine triad nucleotide-binding protein 1) (Protein kinase C inhibitor 1) (Protein kinase C-interacting protein 1) (PKCI-1),HINT1 HINT PKCI1 PRKCNH1
198,ENSP00000361850,UROK_HUMAN,Urokinase-type plasminogen activator (U-plasminogen activator) (uPA) (EC 3.4.21.73) [Cleaved into: Urokinase-type plasminogen activator long chain A; Urokinase-type plasminogen activator short chain A; Urokinase-type plasminogen activator chain B],PLAU
199,ENSP00000482657,M3K14_HUMAN,Mitogen-activated protein kinase kinase kinase 14 (EC 2.7.11.25) (NF-kappa-beta-inducing kinase) (HsNIK) (Serine/threonine-protein kinase NIK),MAP3K14 NIK
200,ENSP00000216160,TAB1_HUMAN,TGF-beta-activated kinase 1 and MAP3K7-binding protein 1 (Mitogen-activated protein kinase kinase kinase 7-interacting protein 1) (TGF-beta-activated kinase 1-binding protein 1) (TAK1-binding protein 1),TAB1 MAP3K7IP1
201,ENSP00000324560,ULK1_HUMAN,Serine/threonine-protein kinase ULK1 (EC 2.7.11.1) (Autophagy-related protein 1 homolog) (ATG1) (hATG1) (Unc-51-like kinase 1),ULK1 KIAA0722
202,ENSP00000304250,CD5R2_HUMAN,Cyclin-dependent kinase 5 activator 2 (CDK5 activator 2) (Cyclin-dependent kinase 5 regulatory subunit 2) (p39) (p39I),CDK5R2 NCK5AI
203,ENSP00000275815,EPHA1_HUMAN,Ephrin type-A receptor 1 (hEpha1) (EC 2.7.10.1) (EPH tyrosine kinase) (EPH tyrosine kinase 1) (Erythropoietin-producing hepatoma receptor) (Tyrosine-protein kinase receptor EPH),EPHA1 EPH EPHT EPHT1
204,ENSP00000402103,HXK1_HUMAN,Hexokinase-1 (EC 2.7.1.1) (Brain form hexokinase) (Hexokinase type I) (HK I) (Hexokinase-A),HK1
205,ENSP00000263125,KPCT_HUMAN,Protein kinase C theta type (EC 2.7.11.13) (nPKC-theta),PRKCQ PRKCT
206,ENSP00000259750,TTBK1_HUMAN,Tau-tubulin kinase 1 (EC 2.7.11.1) (Brain-derived tau kinase),TTBK1 BDTK KIAA1855
207,ENSP00000323867,AAKG1_HUMAN,5'-AMP-activated protein kinase subunit gamma-1 (AMPK gamma1) (AMPK subunit gamma-1) (AMPKg),PRKAG1
208,ENSP00000265717,KAP3_HUMAN,cAMP-dependent protein kinase type II-beta regulatory subunit,PRKAR2B
209,ENSP00000402515,SMG1_HUMAN,Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein) (Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1),SMG1 ATX KIAA0421 LIP
210,ENSP00000377262,SRPK2_HUMAN,SRSF protein kinase 2 (EC 2.7.11.1) (SFRS protein kinase 2) (Serine/arginine-rich protein-specific kinase 2) (SR-protein-specific kinase 2) [Cleaved into: SRSF protein kinase 2 N-terminal; SRSF protein kinase 2 C-terminal],SRPK2
211,ENSP00000301178,UFO_HUMAN,Tyrosine-protein kinase receptor UFO (EC 2.7.10.1) (AXL oncogene),AXL UFO
212,ENSP00000306124,KPCE_HUMAN,Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon),PRKCE PKCE
213,ENSP00000398655,ITK_HUMAN,Tyrosine-protein kinase ITK/TSK (EC 2.7.10.2) (Interleukin-2-inducible T-cell kinase) (IL-2-inducible T-cell kinase) (Kinase EMT) (T-cell-specific kinase) (Tyrosine-protein kinase Lyk),ITK EMT LYK
214,ENSP00000371614,BRSK2_HUMAN,Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A),BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12
