,id,probability,answers,pred,label,Entry,Protein names,UniProtKB,geneName
288,ENSP00000279804,0.9999999962731181,0.0,1.0,1.0,Q16619,Cardiotrophin-1 (CT-1),Q16619,CTF1
289,ENSP00000234961,0.9999999962176389,1.0,1.0,1.0,P41143,Delta-type opioid receptor (D-OR-1) (DOR-1),P41143,OPRD1
290,ENSP00000315011,0.9999999961271584,1.0,1.0,1.0,P25101,Endothelin-1 receptor (Endothelin receptor type A) (ET-A) (ETA-R) (hET-AR),P25101,EDNRA
291,ENSP00000365016,0.9999999960818684,0.0,1.0,1.0,Q9Y4H2,Insulin receptor substrate 2 (IRS-2),Q9Y4H2,IRS2
292,ENSP00000441691,0.999999996029814,0.0,1.0,1.0,P11215,Integrin alpha-M (CD11 antigen-like family member B) (CR-3 alpha chain) (Cell surface glycoprotein MAC-1 subunit alpha) (Leukocyte adhesion receptor MO1) (Neutrophil adherence receptor) (CD antigen CD11b),P11215,ITGAM
293,ENSP00000471477,0.9999999957379515,0.0,1.0,1.0,Q9NSA1,Fibroblast growth factor 21 (FGF-21),Q9NSA1,FGF21
294,ENSP00000327251,0.9999999956782801,0.0,1.0,1.0,P35228,"Nitric oxide synthase, inducible (EC 1.14.13.39) (Hepatocyte NOS) (HEP-NOS) (Inducible NO synthase) (Inducible NOS) (iNOS) (NOS type II) (Peptidyl-cysteine S-nitrosylase NOS2)",P35228,NOS2
295,ENSP00000312286,0.9999999956612626,1.0,1.0,1.0,P04054,Phospholipase A2 (EC 3.1.1.4) (Group IB phospholipase A2) (Phosphatidylcholine 2-acylhydrolase 1B),P04054,PLA2G1B
296,ENSP00000386559,0.9999999956335728,0.0,1.0,1.0,P01732,T-cell surface glycoprotein CD8 alpha chain (T-lymphocyte differentiation antigen T8/Leu-2) (CD antigen CD8a),P01732,CD8A
297,ENSP00000274368,0.9999999955284835,0.0,1.0,1.0,P24387,Corticotropin-releasing factor-binding protein (CRF-BP) (CRF-binding protein) (Corticotropin-releasing hormone-binding protein) (CRH-BP),P24387,CRHBP
298,ENSP00000261751,0.999999995155676,1.0,1.0,1.0,P30926,Neuronal acetylcholine receptor subunit beta-4,P30926,CHRNB4
299,ENSP00000365380,0.999999994936914,0.0,1.0,1.0,Q9BZS1,"Forkhead box protein P3 (Scurfin) [Cleaved into: Forkhead box protein P3, C-terminally processed; Forkhead box protein P3 41 kDa form]",Q9BZS1,FOXP3
300,ENSP00000363079,0.9999999948671814,0.0,1.0,1.0,P11226,Mannose-binding protein C (MBP-C) (Collectin-1) (MBP1) (Mannan-binding protein) (Mannose-binding lectin),P11226,MBL2
301,ENSP00000360522,0.9999999947503326,0.0,1.0,1.0,P02753,Retinol-binding protein 4 (Plasma retinol-binding protein) (PRBP) (RBP) [Cleaved into: Plasma retinol-binding protein(1-182); Plasma retinol-binding protein(1-181); Plasma retinol-binding protein(1-179); Plasma retinol-binding protein(1-176)],P02753,RBP4
302,ENSP00000217407,0.9999999945988094,0.0,1.0,1.0,P18428,Lipopolysaccharide-binding protein (LBP),P18428,LBP
303,ENSP00000384620,0.9999999945434865,0.0,1.0,1.0,Q02297,"Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]",Q02297,NRG1
304,ENSP00000240618,0.9999999944110343,0.0,1.0,1.0,P26718,NKG2-D type II integral membrane protein (Killer cell lectin-like receptor subfamily K member 1) (NK cell receptor D) (NKG2-D-activating NK receptor) (CD antigen CD314),P26718,KLRK1
305,ENSP00000361359,0.9999999943942157,0.0,1.0,1.0,P25942,Tumor necrosis factor receptor superfamily member 5 (B-cell surface antigen CD40) (Bp50) (CD40L receptor) (CDw40) (CD antigen CD40),P25942,CD40
306,ENSP00000303540,0.9999999942554183,0.0,1.0,1.0,P35498,Sodium channel protein type 1 subunit alpha (Sodium channel protein brain I subunit alpha) (Sodium channel protein type I subunit alpha) (Voltage-gated sodium channel subunit alpha Nav1.1),P35498,SCN1A
307,ENSP00000370129,0.9999999942530877,0.0,1.0,1.0,P52895,Aldo-keto reductase family 1 member C2 (EC 1.-.-.-) (EC 1.1.1.112) (EC 1.1.1.209) (EC 1.1.1.53) (EC 1.1.1.62) (EC 1.3.1.20) (3-alpha-HSD3) (Chlordecone reductase homolog HAKRD) (Dihydrodiol dehydrogenase 2) (DD-2) (DD2) (Dihydrodiol dehydrogenase/bile acid-binding protein) (DD/BABP) (Type III 3-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.357),P52895,AKR1C2
308,ENSP00000478255,0.9999999941955338,0.0,1.0,1.0,P08183,ATP-dependent translocase ABCB1 (ATP-binding cassette sub-family B member 1) (Multidrug resistance protein 1) (EC 7.6.2.2) (P-glycoprotein 1) (Phospholipid transporter ABCB1) (EC 7.6.2.1) (CD antigen CD243),P08183,ABCB1
309,ENSP00000227752,0.9999999938674264,0.0,1.0,1.0,Q13651,Interleukin-10 receptor subunit alpha (IL-10 receptor subunit alpha) (IL-10R subunit alpha) (IL-10RA) (CDw210a) (Interleukin-10 receptor subunit 1) (IL-10R subunit 1) (IL-10R1) (CD antigen CD210),Q13651,IL10RA
310,ENSP00000363512,0.9999999934660053,1.0,1.0,1.0,P09917,Polyunsaturated fatty acid 5-lipoxygenase (EC 1.13.11.-) (Arachidonate 5-lipoxygenase) (5-LO) (5-lipoxygenase) (EC 1.13.11.34),P09917,ALOX5
311,ENSP00000295927,0.9999999934187258,0.0,1.0,1.0,P26022,Pentraxin-related protein PTX3 (Pentaxin-related protein PTX3) (Tumor necrosis factor alpha-induced protein 5) (TNF alpha-induced protein 5) (Tumor necrosis factor-inducible gene 14 protein) (TSG-14),P26022,PTX3
312,ENSP00000222553,0.999999993083712,0.0,1.0,1.0,P43490,Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin),P43490,NAMPT
313,ENSP00000304501,0.9999999925695562,1.0,1.0,1.0,P29275,Adenosine receptor A2b,P29275,ADORA2B
314,ENSP00000363089,0.9999999923495437,0.0,1.0,1.0,O00206,Toll-like receptor 4 (hToll) (CD antigen CD284),O00206,TLR4
315,ENSP00000323568,0.9999999921984326,0.0,1.0,1.0,P11168,"Solute carrier family 2, facilitated glucose transporter member 2 (Glucose transporter type 2, liver) (GLUT-2)",P11168,SLC2A2
316,ENSP00000385523,0.9999999920520821,1.0,1.0,1.0,Q07869,Peroxisome proliferator-activated receptor alpha (PPAR-alpha) (Nuclear receptor subfamily 1 group C member 1),Q07869,PPARA
317,ENSP00000301908,0.9999999919852627,0.0,1.0,1.0,Q13519,Prepronociceptin [Cleaved into: Nocistatin; Nociceptin (Orphanin FQ) (PPNOC); Orphanin FQ2],Q13519,PNOC
318,ENSP00000357726,0.9999999914539117,0.0,1.0,1.0,P80511,Protein S100-A12 (CGRP) (Calcium-binding protein in amniotic fluid 1) (CAAF1) (Calgranulin-C) (CAGC) (Extracellular newly identified RAGE-binding protein) (EN-RAGE) (Migration inhibitory factor-related protein 6) (MRP-6) (p6) (Neutrophil S100 protein) (S100 calcium-binding protein A12) [Cleaved into: Calcitermin],P80511,S100A12
319,ENSP00000358165,0.9999999913497675,0.0,1.0,1.0,P12314,High affinity immunoglobulin gamma Fc receptor I (IgG Fc receptor I) (Fc-gamma RI) (FcRI) (Fc-gamma RIA) (FcgammaRIa) (CD antigen CD64),P12314,FCGR1A
320,ENSP00000366095,0.9999999908709327,0.0,1.0,1.0,Q16653,Myelin-oligodendrocyte glycoprotein,Q16653,MOG
321,ENSP00000330382,0.9999999907168018,0.0,1.0,1.0,P01127,Platelet-derived growth factor subunit B (PDGF subunit B) (PDGF-2) (Platelet-derived growth factor B chain) (Platelet-derived growth factor beta polypeptide) (Proto-oncogene c-Sis) (Becaplermin),P01127,PDGFB
322,ENSP00000249330,0.9999999897195835,0.0,1.0,1.0,O15240,Neurosecretory protein VGF [Cleaved into: Neuroendocrine regulatory peptide-1 (NERP-1); Neuroendocrine regulatory peptide-2 (NERP-2); VGF-derived peptide TLQP-21; VGF-derived peptide TLQP-62; Antimicrobial peptide VGF[554-577]],O15240,VGF
323,ENSP00000296871,0.9999999896125615,1.0,1.0,1.0,P04141,Granulocyte-macrophage colony-stimulating factor (GM-CSF) (Colony-stimulating factor) (CSF) (Molgramostin) (Sargramostim),P04141,CSF2
324,ENSP00000478561,0.9999999896061311,0.0,1.0,1.0,Q16678,Cytochrome P450 1B1 (EC 1.14.14.1) (CYPIB1) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152),Q16678,CYP1B1
325,ENSP00000386444,0.9999999893989867,0.0,1.0,1.0,P10523,S-arrestin (48 kDa protein) (Retinal S-antigen) (S-AG) (Rod photoreceptor arrestin),P10523,SAG
326,ENSP00000311469,0.9999999892507178,0.0,1.0,1.0,P09488,Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4),P09488,GSTM1
327,ENSP00000263636,0.9999999891803669,0.0,1.0,1.0,O60449,Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205),O60449,LY75
328,ENSP00000263636,0.9999999891803669,0.0,1.0,1.0,O60449,Lymphocyte antigen 75 (Ly-75) (C-type lectin domain family 13 member B) (DEC-205) (gp200-MR6) (CD antigen CD205),O60449,LY75-CD302
329,ENSP00000237837,0.9999999888228289,1.0,1.0,1.0,Q9GZV9,Fibroblast growth factor 23 (FGF-23) (Phosphatonin) (Tumor-derived hypophosphatemia-inducing factor) [Cleaved into: Fibroblast growth factor 23 N-terminal peptide; Fibroblast growth factor 23 C-terminal peptide],Q9GZV9,FGF23
330,ENSP00000361405,0.999999988501017,0.0,1.0,1.0,P14780,Matrix metalloproteinase-9 (MMP-9) (EC 3.4.24.35) (92 kDa gelatinase) (92 kDa type IV collagenase) (Gelatinase B) (GELB) [Cleaved into: 67 kDa matrix metalloproteinase-9; 82 kDa matrix metalloproteinase-9],P14780,MMP9
331,ENSP00000370989,0.9999999880717142,1.0,1.0,1.0,Q9NZQ7,Programmed cell death 1 ligand 1 (PD-L1) (PDCD1 ligand 1) (Programmed death ligand 1) (hPD-L1) (B7 homolog 1) (B7-H1) (CD antigen CD274),Q9NZQ7,CD274
332,ENSP00000391592,0.9999999874843511,0.0,1.0,1.0,P29350,Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Protein-tyrosine phosphatase SHP-1) (SH-PTP1),P29350,PTPN6
333,ENSP00000411355,0.9999999862074135,0.0,1.0,1.0,P08575,Receptor-type tyrosine-protein phosphatase C (EC 3.1.3.48) (Leukocyte common antigen) (L-CA) (T200) (CD antigen CD45),P08575,PTPRC
334,ENSP00000368966,0.9999999859199137,0.0,1.0,1.0,Q13507,Short transient receptor potential channel 3 (TrpC3) (Transient receptor protein 3) (TRP-3) (hTrp-3) (hTrp3),Q13507,TRPC3
335,ENSP00000281834,0.9999999858754337,0.0,1.0,1.0,P23510,Tumor necrosis factor ligand superfamily member 4 (Glycoprotein Gp34) (OX40 ligand) (OX40L) (TAX transcriptionally-activated glycoprotein 1) (CD antigen CD252),P23510,TNFSF4
336,ENSP00000261783,0.9999999857357623,0.0,1.0,1.0,P78540,"Arginase-2, mitochondrial (EC 3.5.3.1) (Arginase II) (Kidney-type arginase) (Non-hepatic arginase) (Type II arginase)",P78540,ARG2
337,ENSP00000222381,0.9999999856911118,0.0,1.0,1.0,P27169,Serum paraoxonase/arylesterase 1 (PON 1) (EC 3.1.1.2) (EC 3.1.1.81) (EC 3.1.8.1) (Aromatic esterase 1) (A-esterase 1) (K-45) (Serum aryldialkylphosphatase 1),P27169,PON1
338,ENSP00000369927,0.9999999854087066,1.0,1.0,1.0,P42330,"Aldo-keto reductase family 1 member C3 (EC 1.1.1.-) (EC 1.1.1.210) (EC 1.1.1.53) (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239, EC 1.1.1.64)",P42330,AKR1C3
339,ENSP00000359285,0.9999999851558387,1.0,1.0,1.0,P43681,Neuronal acetylcholine receptor subunit alpha-4,P43681,CHRNA4
340,ENSP00000356959,0.9999999848436191,1.0,1.0,1.0,Q14994,Nuclear receptor subfamily 1 group I member 3 (Constitutive activator of retinoid response) (Constitutive active response) (Constitutive androstane receptor) (CAR) (Orphan nuclear receptor MB67),Q14994,NR1I3
341,ENSP00000303960,0.9999999844379063,1.0,1.0,1.0,Q09428,ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1),Q09428,ABCC8
342,ENSP00000365777,0.9999999843495077,0.0,1.0,1.0,P42898,Methylenetetrahydrofolate reductase (NADPH) (EC 1.5.1.53),P42898,MTHFR
343,ENSP00000312029,0.999999984138853,0.0,1.0,1.0,P55851,Mitochondrial uncoupling protein 2 (UCP 2) (Solute carrier family 25 member 8) (UCPH),P55851,UCP2
344,ENSP00000291700,0.9999999837225318,0.0,1.0,1.0,P04271,Protein S100-B (S-100 protein beta chain) (S-100 protein subunit beta) (S100 calcium-binding protein B),P04271,S100B
345,ENSP00000383232,0.9999999830822689,0.0,1.0,1.0,P19440,Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain],P19440,GGT1
346,ENSP00000274024,0.9999999824586469,0.0,1.0,1.0,P12104,"Fatty acid-binding protein, intestinal (Fatty acid-binding protein 2) (Intestinal-type fatty acid-binding protein) (I-FABP)",P12104,FABP2
347,ENSP00000423917,0.9999999824421054,0.0,1.0,1.0,Q15761,Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (NPYY5-R) (Y5 receptor),Q15761,NPY5R
348,ENSP00000357153,0.9999999821147868,0.0,1.0,1.0,P15813,Antigen-presenting glycoprotein CD1d (R3G1) (CD antigen CD1d),P15813,CD1D
349,ENSP00000228606,0.9999999810088698,0.0,1.0,1.0,O15528,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial (EC 1.14.15.18) (25-OHD-1 alpha-hydroxylase) (25-hydroxyvitamin D(3) 1-alpha-hydroxylase) (VD3 1A hydroxylase) (Calcidiol 1-monooxygenase) (Cytochrome P450 subfamily XXVIIB polypeptide 1) (Cytochrome P450C1 alpha) (Cytochrome P450VD1-alpha) (Cytochrome p450 27B1)",O15528,CYP27B1
350,ENSP00000349884,0.9999999804524864,0.0,1.0,1.0,Q9UBC7,Galanin-like peptide,Q9UBC7,GALP
351,ENSP00000365048,0.9999999792441516,1.0,1.0,1.0,Q9Y275,"Tumor necrosis factor ligand superfamily member 13B (B lymphocyte stimulator) (BLyS) (B-cell-activating factor) (BAFF) (Dendritic cell-derived TNF-like molecule) (TNF- and APOL-related leukocyte expressed ligand 1) (TALL-1) (CD antigen CD257) [Cleaved into: Tumor necrosis factor ligand superfamily member 13b, membrane form; Tumor necrosis factor ligand superfamily member 13b, soluble form]",Q9Y275,TNFSF13B
352,ENSP00000368538,0.9999999791087222,0.0,1.0,1.0,P43489,Tumor necrosis factor receptor superfamily member 4 (ACT35 antigen) (OX40L receptor) (TAX transcriptionally-activated glycoprotein 1 receptor) (CD antigen CD134),P43489,TNFRSF4
353,ENSP00000306606,0.9999999790734224,0.0,1.0,1.0,P00325,All-trans-retinol dehydrogenase [NAD(+)] ADH1B (EC 1.1.1.105) (Alcohol dehydrogenase 1B) (Alcohol dehydrogenase subunit beta),P00325,ADH1B
354,ENSP00000304845,0.9999999787988971,0.0,1.0,1.0,P22309,UDP-glucuronosyltransferase 1A1 (UGT1A1) (EC 2.4.1.17) (Bilirubin-specific UDPGT isozyme 1) (hUG-BR1) (UDP-glucuronosyltransferase 1-1) (UDPGT 1-1) (UGT1*1) (UGT1-01) (UGT1.1) (UDP-glucuronosyltransferase 1A isoform 1),P22309,UGT1A1
355,ENSP00000378408,0.9999999783501325,0.0,1.0,1.0,P24298,Alanine aminotransferase 1 (ALT1) (EC 2.6.1.2) (Glutamate pyruvate transaminase 1) (GPT 1) (Glutamic--alanine transaminase 1) (Glutamic--pyruvic transaminase 1),P24298,GPT
356,ENSP00000359682,0.9999999781047963,0.0,1.0,1.0,P32247,Bombesin receptor subtype-3 (BRS-3),P32247,BRS3
357,ENSP00000293328,0.9999999779188189,0.0,1.0,1.0,P51692,Signal transducer and activator of transcription 5B,P51692,STAT5B
358,ENSP00000220809,0.9999999775491804,1.0,1.0,1.0,P00750,Tissue-type plasminogen activator (t-PA) (t-plasminogen activator) (tPA) (EC 3.4.21.68) (Alteplase) (Reteplase) [Cleaved into: Tissue-type plasminogen activator chain A; Tissue-type plasminogen activator chain B],P00750,PLAT
359,ENSP00000351497,0.9999999773964918,0.0,1.0,1.0,P31994,Low affinity immunoglobulin gamma Fc region receptor II-b (IgG Fc receptor II-b) (CDw32) (Fc-gamma RII-b) (Fc-gamma-RIIb) (FcRII-b) (CD antigen CD32),P31994,FCGR2B
360,ENSP00000297350,0.9999999772303598,0.0,1.0,1.0,O00300,Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin),O00300,TNFRSF11B
361,ENSP00000341208,0.9999999770514878,0.0,1.0,1.0,P42229,Signal transducer and activator of transcription 5A,P42229,STAT5A
362,ENSP00000306129,0.9999999764199575,1.0,1.0,1.0,P21918,D(1B) dopamine receptor (D(5) dopamine receptor) (D1beta dopamine receptor) (Dopamine D5 receptor),P21918,DRD5
363,ENSP00000441828,0.9999999763173907,0.0,1.0,1.0,P00739,Haptoglobin-related protein,P00739,HPR
364,ENSP00000450482,0.9999999756627179,1.0,1.0,1.0,P30411,B2 bradykinin receptor (B2R) (BK-2 receptor),P30411,BDKRB2
365,ENSP00000325525,0.9999999756025492,0.0,1.0,1.0,P43630,Killer cell immunoglobulin-like receptor 3DL2 (CD158 antigen-like family member K) (Natural killer-associated transcript 4) (NKAT-4) (p70 natural killer cell receptor clone CL-5) (p70 NK receptor CL-5) (CD antigen CD158k),P43630,KIR3DL2
366,ENSP00000323872,0.9999999752865424,0.0,1.0,1.0,Q96G91,P2Y purinoceptor 11 (P2Y11),Q96G91,P2RY11
367,ENSP00000369375,0.9999999751063203,0.0,1.0,1.0,Q02763,Angiopoietin-1 receptor (EC 2.7.10.1) (Endothelial tyrosine kinase) (Tunica interna endothelial cell kinase) (Tyrosine kinase with Ig and EGF homology domains-2) (Tyrosine-protein kinase receptor TEK) (Tyrosine-protein kinase receptor TIE-2) (hTIE2) (p140 TEK) (CD antigen CD202b),Q02763,TEK
368,ENSP00000274625,0.9999999739006288,0.0,1.0,1.0,O76093,Fibroblast growth factor 18 (FGF-18) (zFGF5),O76093,FGF18
369,ENSP00000468897,0.9999999723766567,0.0,1.0,1.0,P25090,N-formyl peptide receptor 2 (FMLP-related receptor I) (FMLP-R-I) (Formyl peptide receptor-like 1) (HM63) (Lipoxin A4 receptor) (LXA4 receptor) (RFP),P25090,FPR2
370,ENSP00000367102,0.9999999704195237,0.0,1.0,1.0,Q4U2R8,Solute carrier family 22 member 6 (Organic anion transporter 1) (hOAT1) (PAH transporter) (hPAHT) (Renal organic anion transporter 1) (hROAT1),Q4U2R8,SLC22A6
371,ENSP00000336528,0.9999999678099135,0.0,1.0,1.0,O75469,Nuclear receptor subfamily 1 group I member 2 (Orphan nuclear receptor PAR1) (Orphan nuclear receptor PXR) (Pregnane X receptor) (Steroid and xenobiotic receptor) (SXR),O75469,NR1I2
372,ENSP00000386884,0.999999967392626,1.0,1.0,1.0,P61073,C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184),P61073,CXCR4
373,ENSP00000354952,0.9999999670207421,0.0,1.0,1.0,Q9UQC2,GRB2-associated-binding protein 2 (GRB2-associated binder 2) (Growth factor receptor bound protein 2-associated protein 2) (pp100),Q9UQC2,GAB2
374,ENSP00000221972,0.9999999637204133,0.0,1.0,1.0,P11912,B-cell antigen receptor complex-associated protein alpha chain (Ig-alpha) (MB-1 membrane glycoprotein) (Membrane-bound immunoglobulin-associated protein) (Surface IgM-associated protein) (CD antigen CD79a),P11912,CD79A
375,ENSP00000381775,0.9999999636764876,1.0,1.0,1.0,O14788,"Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]",O14788,TNFSF11
376,ENSP00000231004,0.999999961627794,0.0,1.0,1.0,P28300,"Protein-lysine 6-oxidase (EC 1.4.3.13) (Lysyl oxidase) [Cleaved into: Protein-lysine 6-oxidase, long form; Protein-lysine 6-oxidase, short form]",P28300,LOX
377,ENSP00000431885,0.9999999612502471,1.0,1.0,1.0,P29597,Non-receptor tyrosine-protein kinase TYK2 (EC 2.7.10.2),P29597,TYK2
378,ENSP00000378367,0.9999999603716682,0.0,1.0,1.0,Q8WWG1,"Pro-neuregulin-4, membrane-bound isoform (Pro-NRG4) [Cleaved into: Neuregulin-4 (NRG-4)]",Q8WWG1,NRG4
379,ENSP00000419313,0.9999999581704992,0.0,1.0,1.0,P48995,Short transient receptor potential channel 1 (TrpC1) (Transient receptor protein 1) (TRP-1),P48995,TRPC1
380,ENSP00000227638,0.9999999574020828,0.0,1.0,1.0,Q96RD7,Pannexin-1,Q96RD7,PANX1
381,ENSP00000241453,0.9999999566165991,1.0,1.0,1.0,P36888,Receptor-type tyrosine-protein kinase FLT3 (EC 2.7.10.1) (FL cytokine receptor) (Fetal liver kinase-2) (FLK-2) (Fms-like tyrosine kinase 3) (FLT-3) (Stem cell tyrosine kinase 1) (STK-1) (CD antigen CD135),P36888,FLT3
382,ENSP00000330696,0.999999956558555,0.0,1.0,1.0,Q99572,P2X purinoceptor 7 (P2X7) (ATP receptor) (P2Z receptor) (Purinergic receptor),Q99572,P2RX7
383,ENSP00000416293,0.9999999500901081,0.0,1.0,1.0,P11166,"Solute carrier family 2, facilitated glucose transporter member 1 (Glucose transporter type 1, erythrocyte/brain) (GLUT-1) (HepG2 glucose transporter)",P11166,SLC2A1
384,ENSP00000348170,0.9999999497885467,0.0,1.0,1.0,P00738,Haptoglobin (Zonulin) [Cleaved into: Haptoglobin alpha chain; Haptoglobin beta chain],P00738,HP
385,ENSP00000251535,0.9999999487971976,0.0,1.0,1.0,P18054,Polyunsaturated fatty acid lipoxygenase ALOX12 (EC 1.13.11.-) (Arachidonate (12S)-lipoxygenase) (12S-LOX) (12S-lipoxygenase) (EC 1.13.11.31) (Arachidonate (15S)-lipoxygenase) (EC 1.13.11.33) (Linoleate (13S)-lipoxygenase) (Lipoxin synthase 12-LO) (EC 3.3.2.-) (Platelet-type lipoxygenase 12),P18054,ALOX12
386,ENSP00000302079,0.9999999482044415,0.0,1.0,1.0,Q16581,C3a anaphylatoxin chemotactic receptor (C3AR) (C3a-R),Q16581,C3AR1
387,ENSP00000353720,0.9999999440631073,1.0,1.0,1.0,P23141,Liver carboxylesterase 1 (Acyl-coenzyme A:cholesterol acyltransferase) (ACAT) (Brain carboxylesterase hBr1) (Carboxylesterase 1) (CE-1) (hCE-1) (EC 3.1.1.1) (Cholesteryl ester hydrolase) (CEH) (EC 3.1.1.13) (Cocaine carboxylesterase) (Egasyn) (HMSE) (Methylumbelliferyl-acetate deacetylase 1) (EC 3.1.1.56) (Monocyte/macrophage serine esterase) (Retinyl ester hydrolase) (REH) (Serine esterase 1) (Triacylglycerol hydrolase) (TGH),P23141,CES1
388,ENSP00000221992,0.9999999409878786,0.0,1.0,1.0,P06731,Carcinoembryonic antigen-related cell adhesion molecule 5 (Carcinoembryonic antigen) (CEA) (Meconium antigen 100) (CD antigen CD66e),P06731,CEACAM5
389,ENSP00000354610,0.9999999379938364,0.0,1.0,1.0,P19961,"Alpha-amylase 2B (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 2B) (Carcinoid alpha-amylase)",P19961,AMY2B
390,ENSP00000321326,0.9999999379724916,1.0,1.0,1.0,P25116,Proteinase-activated receptor 1 (PAR-1) (Coagulation factor II receptor) (Thrombin receptor),P25116,F2R
391,ENSP00000244336,0.999999936273172,0.0,1.0,1.0,P31997,Carcinoembryonic antigen-related cell adhesion molecule 8 (CD67 antigen) (Carcinoembryonic antigen CGM6) (Non-specific cross-reacting antigen NCA-95) (CD antigen CD66b),P31997,CEACAM8
392,ENSP00000327875,0.9999999362131524,0.0,1.0,1.0,Q9H1C0,Lysophosphatidic acid receptor 5 (LPA receptor 5) (LPA-5) (G-protein coupled receptor 92) (G-protein coupled receptor 93),Q9H1C0,LPAR5
393,ENSP00000447149,0.9999999352242263,1.0,1.0,1.0,Q96RI1,Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14),Q96RI1,NR1H4
394,ENSP00000367851,0.9999999349385454,0.0,1.0,1.0,P04839,Cytochrome b-245 heavy chain (EC 1.-.-.-) (CGD91-phox) (Cytochrome b(558) subunit beta) (Cytochrome b558 subunit beta) (Heme-binding membrane glycoprotein gp91phox) (NADPH oxidase 2) (Neutrophil cytochrome b 91 kDa polypeptide) (Superoxide-generating NADPH oxidase heavy chain subunit) (gp91-1) (gp91-phox) (p22 phagocyte B-cytochrome),P04839,CYBB
395,ENSP00000263233,0.9999999345034091,0.0,1.0,1.0,P08247,Synaptophysin (Major synaptic vesicle protein p38),P08247,SYP
396,ENSP00000381607,0.9999999341840842,0.0,1.0,1.0,P09211,Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1),P09211,GSTP1
397,ENSP00000358210,0.9999999332208014,0.0,1.0,1.0,P81133,Single-minded homolog 1 (Class E basic helix-loop-helix protein 14) (bHLHe14),P81133,SIM1
398,ENSP00000216200,0.9999999330595011,0.0,1.0,1.0,P20472,Parvalbumin alpha,P20472,PVALB
399,ENSP00000387699,0.9999999308400216,0.0,1.0,1.0,P16220,Cyclic AMP-responsive element-binding protein 1 (CREB-1) (cAMP-responsive element-binding protein 1),P16220,CREB1
400,ENSP00000378517,0.9999999272869244,0.0,1.0,1.0,P10451,Osteopontin (Bone sialoprotein 1) (Nephropontin) (Secreted phosphoprotein 1) (SPP-1) (Urinary stone protein) (Uropontin),P10451,SPP1
